creator,genre,topic_id,n,share,label,political
@60minutes,videos,0,15,0.046153846153846156,Iran War and Strait of Hormuz Tensions,True
@60minutes,videos,2,7,0.021538461538461538,Israel-Palestine Conflict Media,True
@60minutes,videos,3,2,0.006153846153846154,ICE Protests and Shootings,True
@60minutes,videos,4,1,0.003076923076923077,Ukraine-Russia War and Political Figures,True
@60minutes,videos,5,3,0.009230769230769232,Trump Supreme Court Legal Issues,True
@60minutes,videos,6,4,0.012307692307692308,Trump and China political relations,True
@60minutes,videos,7,4,0.012307692307692308,Trump vs Maduro Venezuela Conflict,True
@60minutes,videos,9,10,0.03076923076923077,AI and Political Concerns,True
@60minutes,videos,11,14,0.043076923076923075,Hollywood and Oscars Politics,True
@60minutes,videos,13,2,0.006153846153846154,Modern Women and Feminism Debate,True
@60minutes,videos,14,5,0.015384615384615385,Pete Hegseth and Iran War,True
@60minutes,videos,18,2,0.006153846153846154,Lindsay Clancy Murder Trial,False
@60minutes,videos,19,9,0.027692307692307693,America's 250th Anniversary and Founding History,True
@60minutes,videos,22,4,0.012307692307692308,Christian Nationalism and Politics,True
@60minutes,videos,23,1,0.003076923076923077,Tucker Carlson Political Commentary,True
@60minutes,videos,26,3,0.009230769230769232,White House Correspondents Dinner Shooting,True
@60minutes,videos,27,1,0.003076923076923077,Trump and Greenland politics,True
@60minutes,videos,29,5,0.015384615384615385,Cuba-US Political Tensions,True
@60minutes,videos,32,6,0.018461538461538463,Artemis II Moon Mission Updates,False
@60minutes,videos,33,2,0.006153846153846154,Elon Musk and Political Influence,True
@60minutes,videos,35,2,0.006153846153846154,Lindsey Graham's Funeral and Legacy,True
@60minutes,videos,37,1,0.003076923076923077,Islam and Political Discourse,True
@60minutes,videos,39,1,0.003076923076923077,Trump and Rising Energy Prices,True
@60minutes,videos,40,1,0.003076923076923077,Trump's speeches and events,True
@60minutes,videos,41,7,0.021538461538461538,Big Pharma and Health Scams,True
@60minutes,videos,42,11,0.033846153846153845,War and Military Analysis,True
@60minutes,videos,47,1,0.003076923076923077,UFO Government Disclosure,True
@60minutes,videos,49,2,0.006153846153846154,Race and Politics in Media,True
@60minutes,videos,51,2,0.006153846153846154,Minneapolis political unrest and federal response,True
@60minutes,videos,52,1,0.003076923076923077,Fauci Senate Testimony Controversy,True
@60minutes,videos,65,5,0.015384615384615385,Climate and Weather Politics,True
@60minutes,videos,67,1,0.003076923076923077,Trump's Economic Impact,True
@60minutes,videos,68,26,0.08,9/11 Remembered 25 Years Later,True
@60minutes,videos,69,2,0.006153846153846154,Virginia redistricting and gerrymandering,True
@60minutes,videos,72,1,0.003076923076923077,Trump and FIFA World Cup controversy,True
@60minutes,videos,75,2,0.006153846153846154,Brown University Mass Shooting,False
@60minutes,videos,78,2,0.006153846153846154,Covid Vaccine Controversy,True
@60minutes,videos,87,2,0.006153846153846154,California fraud investigation,True
@60minutes,videos,91,1,0.003076923076923077,Trump and NATO Relations,True
@60minutes,videos,93,7,0.021538461538461538,Olympics and Team USA Politics,True
@60minutes,videos,95,2,0.006153846153846154,Tech Business and Startups,False
@60minutes,videos,97,3,0.009230769230769232,Healthcare Affordability and Policy,True
@60minutes,videos,98,5,0.015384615384615385,JLP Weekly Series,False
@60minutes,videos,99,4,0.012307692307692308,Abortion and Pregnancy Policies,True
@60minutes,videos,102,9,0.027692307692307693,Political Media Figures,True
@60minutes,videos,113,1,0.003076923076923077,Trump's Health Concerns,True
@60minutes,videos,114,2,0.006153846153846154,Education and Schools in Political Context,True
@60minutes,videos,118,1,0.003076923076923077,Federal Reserve Chair Kevin Warsh and Interest Rates,True
@60minutes,videos,121,1,0.003076923076923077,Rev Jesse Jackson and Civil Rights Legacy,True
@60minutes,videos,125,3,0.009230769230769232,Walmart Shoplifting and Police Incidents,False
@60minutes,videos,127,1,0.003076923076923077,Melania Trump Conspiracy Theories,True
@60minutes,videos,128,2,0.006153846153846154,Gen Z and Boomers Political Apathy,True
@60minutes,videos,132,5,0.015384615384615385,Political Podcasts and Commentary,True
@60minutes,videos,140,2,0.006153846153846154,Crypto and Politics Scandal,True
@60minutes,videos,141,1,0.003076923076923077,Homelessness and Socialist Mayors in US Cities,True
@60minutes,videos,143,1,0.003076923076923077,RFK Jr. testifies on HHS and Senate,True
@60minutes,videos,145,1,0.003076923076923077,Trump Ballroom Construction Controversy,True
@60minutes,videos,146,2,0.006153846153846154,Sudan Civil War and Africa Politics,True
@60minutes,videos,152,4,0.012307692307692308,LaGuardia Plane Crash Investigation,False
@60minutes,videos,153,23,0.07076923076923076,Members Only Show,True
@60minutes,videos,156,3,0.009230769230769232,Kamala Harris 2028 Election Speculation,True
@60minutes,videos,168,1,0.003076923076923077,Spirit Airlines shutdown and airline industry impact,False
@60minutes,videos,169,4,0.012307692307692308,Rob Reiner murder and political backlash,True
@60minutes,videos,170,1,0.003076923076923077,Bondi Beach Terror Attack,True
@60minutes,videos,174,1,0.003076923076923077,Knicks NBA Finals and Trump controversies,True
@60minutes,videos,179,3,0.009230769230769232,Trump feud with Pope Leo,True
@60minutes,videos,181,2,0.006153846153846154,Bari Weiss and CBS News Controversy,True
@60minutes,videos,187,4,0.012307692307692308,Comedy and Cultural Debate,True
@60minutes,videos,188,3,0.009230769230769232,NYC Terror Plot Exposures,True
@60minutes,videos,191,5,0.015384615384615385,Political Commentary and Interviews,True
@60minutes,videos,197,1,0.003076923076923077,Marijuana Policy and Politics,True
@60minutes,videos,199,1,0.003076923076923077,Iran War and Energy Market Impact,True
@60minutes,videos,201,1,0.003076923076923077,Glenn Beck Political Commentary,True
@60minutes,videos,203,2,0.006153846153846154,Trump Iran War Briefings,True
@60minutes,videos,206,5,0.015384615384615385,FBI and Jan 6 Pipe Bomb Case,True
@60minutes,videos,209,1,0.003076923076923077,Social Media and Teen Addiction Lawsuits,True
@60minutes,videos,210,1,0.003076923076923077,U.S. and World Headlines,True
@60minutes,videos,213,1,0.003076923076923077,San Diego Mosque Shooting,True
@60minutes,videos,221,4,0.012307692307692308,Dolly Parton Tribute and Legacy,False
@60minutes,videos,222,13,0.04,Political Podcasts and Influencers,True
@60minutes,videos,224,1,0.003076923076923077,Political Media Broadcasters,True
@60minutes,videos,225,7,0.021538461538461538,Nepal Floods and Rescue Efforts,False
@60minutes,videos,227,2,0.006153846153846154,Fast Food and Political Issues,True
@60minutes,videos,231,6,0.018461538461538463,College Sports and NIL Controversies,False
@60minutes,videos,234,1,0.003076923076923077,Antifa and Political Violence,True
@ABCNews,streams,0,8,0.013559322033898305,Iran War and Strait of Hormuz Tensions,True
@ABCNews,streams,5,3,0.005084745762711864,Trump Supreme Court Legal Issues,True
@ABCNews,streams,6,2,0.003389830508474576,Trump and China political relations,True
@ABCNews,streams,7,7,0.011864406779661017,Trump vs Maduro Venezuela Conflict,True
@ABCNews,streams,8,1,0.001694915254237288,Epstein Files Political Connections,True
@ABCNews,streams,10,3,0.005084745762711864,Zohran Mamdani and NYC Politics,True
@ABCNews,streams,11,2,0.003389830508474576,Hollywood and Oscars Politics,True
@ABCNews,streams,14,6,0.010169491525423728,Pete Hegseth and Iran War,True
@ABCNews,streams,15,3,0.005084745762711864,Charlie Kirk murder trial,True
@ABCNews,streams,16,1,0.001694915254237288,California Election Fraud Scandal,True
@ABCNews,streams,18,5,0.00847457627118644,Lindsay Clancy Murder Trial,False
@ABCNews,streams,19,1,0.001694915254237288,America's 250th Anniversary and Founding History,True
@ABCNews,streams,26,4,0.006779661016949152,White House Correspondents Dinner Shooting,True
@ABCNews,streams,27,1,0.001694915254237288,Trump and Greenland politics,True
@ABCNews,streams,30,3,0.005084745762711864,Pam Bondi and Epstein Files Scandal,True
@ABCNews,streams,32,18,0.030508474576271188,Artemis II Moon Mission Updates,False
@ABCNews,streams,33,1,0.001694915254237288,Elon Musk and Political Influence,True
@ABCNews,streams,35,3,0.005084745762711864,Lindsey Graham's Funeral and Legacy,True
@ABCNews,streams,40,65,0.11016949152542373,Trump's speeches and events,True
@ABCNews,streams,41,1,0.001694915254237288,Big Pharma and Health Scams,True
@ABCNews,streams,42,1,0.001694915254237288,War and Military Analysis,True
@ABCNews,streams,44,3,0.005084745762711864,Trump State of the Union Address,True
@ABCNews,streams,45,7,0.011864406779661017,Kristi Noem Firing by Trump,True
@ABCNews,streams,51,3,0.005084745762711864,Minneapolis political unrest and federal response,True
@ABCNews,streams,52,1,0.001694915254237288,Fauci Senate Testimony Controversy,True
@ABCNews,streams,56,4,0.006779661016949152,Nancy Guthrie Disappearance Investigation,False
@ABCNews,streams,66,4,0.006779661016949152,Todd Blanche Attorney General Confirmation,True
@ABCNews,streams,68,2,0.003389830508474576,9/11 Remembered 25 Years Later,True
@ABCNews,streams,69,1,0.001694915254237288,Virginia redistricting and gerrymandering,True
@ABCNews,streams,71,4,0.006779661016949152,Marco Rubio Testifies on Iran War,True
@ABCNews,streams,74,2,0.003389830508474576,2026 US Primary Elections,True
@ABCNews,streams,75,7,0.011864406779661017,Brown University Mass Shooting,False
@ABCNews,streams,76,2,0.003389830508474576,Nolan Wells Investigation,False
@ABCNews,streams,83,2,0.003389830508474576,AI Data Centers and Political Debate,True
@ABCNews,streams,88,3,0.005084745762711864,DHS Funding Shutdown Debate,True
@ABCNews,streams,91,1,0.001694915254237288,Trump and NATO Relations,True
@ABCNews,streams,93,1,0.001694915254237288,Olympics and Team USA Politics,True
@ABCNews,streams,96,1,0.001694915254237288,Supreme Court and Trump Tariffs,True
@ABCNews,streams,97,2,0.003389830508474576,Healthcare Affordability and Policy,True
@ABCNews,streams,99,1,0.001694915254237288,Abortion and Pregnancy Policies,True
@ABCNews,streams,101,1,0.001694915254237288,Trump UFC White House Event,True
@ABCNews,streams,110,2,0.003389830508474576,Tim Walz and Minnesota Fraud Scandal,True
@ABCNews,streams,118,2,0.003389830508474576,Federal Reserve Chair Kevin Warsh and Interest Rates,True
@ABCNews,streams,120,20,0.03389830508474576,Hakeem Jeffries News Conferences,True
@ABCNews,streams,121,3,0.005084745762711864,Rev Jesse Jackson and Civil Rights Legacy,True
@ABCNews,streams,122,4,0.006779661016949152,King Charles III and Trump interactions,True
